project1_file,project2_file,birthmark,comparator,matcher,class1,class2,similarity
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$5,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$4,0.6666666666666666
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$3,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$1MacWindowInitMessage,0.5
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$13,0.36363636363636365
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.NativeModalDialogHandler$1$1$2,0.36363636363636365
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.NativeModalDialogHandler$1$1$1,0.5714285714285714
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.MessagingInterface$ThreadLock,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.MessagingInterface$2$1,0.2727272727272727
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.MessagingInterface$1,0.5714285714285714
